trip_id,driver,route,violation_type,timestamp
TRP-104,Khalid Saeed,Jeddah - Tabuk,phone_use,2026-08-17T12:23:06
TRP-101,Ahmed Ali,Madinah - Tabuk,unsafe_distance,2026-08-17T12:33:05
TRP-102,Youssef Hassan,Madinah - Tabuk,phone_use,2026-08-17T12:41:04
TRP-101,Ahmed Ali,Madinah - Tabuk,unsafe_distance,2026-08-17T12:55:13
TRP-101,Ahmed Ali,Madinah - Tabuk,lane_departure,2026-08-17T12:57:02
TRP-103,Omar Nasser,Jeddah - Riyadh,phone_use,2026-08-17T13:18:52
TRP-101,Ahmed Ali,Madinah - Tabuk,no_seatbelt,2026-08-17T14:58:59
TRP-102,Youssef Hassan,Madinah - Tabuk,phone_use,2026-08-17T15:19:00
TRP-102,Youssef Hassan,Madinah - Tabuk,no_seatbelt,2026-08-17T16:04:45
TRP-104,Khalid Saeed,Jeddah - Tabuk,drowsiness,2026-08-17T16:46:39
TRP-104,Khalid Saeed,Jeddah - Tabuk,unsafe_distance,2026-08-17T17:34:17
TRP-108,Khalid Saeed,Jeddah - Madinah,phone_use,2026-08-18T07:07:04
TRP-108,Khalid Saeed,Jeddah - Madinah,phone_use,2026-08-18T08:19:58
TRP-108,Khalid Saeed,Jeddah - Madinah,phone_use,2026-08-18T08:30:04
TRP-108,Khalid Saeed,Jeddah - Madinah,yawning,2026-08-18T08:59:14
TRP-107,Youssef Hassan,Jeddah - Madinah,phone_use,2026-08-18T09:30:17
TRP-106,Tariq Mansour,Jeddah - Tabuk,drowsiness,2026-08-18T23:36:01
TRP-106,Tariq Mansour,Jeddah - Tabuk,drowsiness,2026-08-18T23:47:52
TRP-106,Tariq Mansour,Jeddah - Tabuk,lane_departure,2026-08-18T23:56:42
TRP-106,Tariq Mansour,Jeddah - Tabuk,lane_departure,2026-08-19T00:35:13
TRP-105,Ahmed Ali,Jeddah - Tabuk,phone_use,2026-08-19T00:46:52
TRP-105,Ahmed Ali,Jeddah - Tabuk,no_seatbelt,2026-08-19T02:25:22
TRP-105,Ahmed Ali,Jeddah - Tabuk,drowsiness,2026-08-19T02:31:00
TRP-105,Ahmed Ali,Jeddah - Tabuk,no_seatbelt,2026-08-19T03:07:31
TRP-106,Tariq Mansour,Jeddah - Tabuk,yawning,2026-08-19T03:50:26
TRP-105,Ahmed Ali,Jeddah - Tabuk,unsafe_distance,2026-08-19T04:22:50
TRP-106,Tariq Mansour,Jeddah - Tabuk,phone_use,2026-08-19T05:36:26
TRP-105,Ahmed Ali,Jeddah - Tabuk,phone_use,2026-08-19T05:57:39
TRP-106,Tariq Mansour,Jeddah - Tabuk,lane_departure,2026-08-19T06:45:35
TRP-112,Youssef Hassan,Jeddah - NEOM,phone_use,2026-08-19T11:22:55
TRP-112,Youssef Hassan,Jeddah - NEOM,no_seatbelt,2026-08-19T11:40:50
TRP-112,Youssef Hassan,Jeddah - NEOM,unsafe_distance,2026-08-19T12:09:42
TRP-112,Youssef Hassan,Jeddah - NEOM,drowsiness,2026-08-19T12:17:18
TRP-114,Khalid Saeed,Madinah - Tabuk,unsafe_distance,2026-08-19T13:35:39
TRP-112,Youssef Hassan,Jeddah - NEOM,no_seatbelt,2026-08-19T17:47:05
TRP-110,Ahmed Ali,Madinah - Tabuk,drowsiness,2026-08-20T00:40:22
TRP-110,Ahmed Ali,Madinah - Tabuk,yawning,2026-08-20T01:29:57
TRP-110,Ahmed Ali,Madinah - Tabuk,lane_departure,2026-08-20T02:15:13
TRP-111,Tariq Mansour,Riyadh - Dammam,yawning,2026-08-20T02:45:49
TRP-113,Omar Nasser,Jeddah - Riyadh,phone_use,2026-08-20T03:43:08
TRP-110,Ahmed Ali,Madinah - Tabuk,drowsiness,2026-08-20T04:01:35
TRP-110,Ahmed Ali,Madinah - Tabuk,yawning,2026-08-20T04:55:14
TRP-110,Ahmed Ali,Madinah - Tabuk,lane_departure,2026-08-20T04:55:52
TRP-110,Ahmed Ali,Madinah - Tabuk,unsafe_distance,2026-08-20T05:16:23
TRP-110,Ahmed Ali,Madinah - Tabuk,phone_use,2026-08-20T05:29:43
TRP-113,Omar Nasser,Jeddah - Riyadh,no_seatbelt,2026-08-20T07:53:01
TRP-117,Omar Nasser,Jeddah - NEOM,no_seatbelt,2026-08-20T12:24:27
TRP-117,Omar Nasser,Jeddah - NEOM,no_seatbelt,2026-08-20T14:18:00
TRP-117,Omar Nasser,Jeddah - NEOM,phone_use,2026-08-20T14:38:14
TRP-117,Omar Nasser,Jeddah - NEOM,yawning,2026-08-20T16:15:28
TRP-116,Ahmed Ali,Riyadh - Dammam,no_seatbelt,2026-08-20T22:15:17
TRP-116,Ahmed Ali,Riyadh - Dammam,phone_use,2026-08-21T00:19:51
TRP-116,Ahmed Ali,Riyadh - Dammam,lane_departure,2026-08-21T00:19:51
TRP-122,Omar Nasser,Jeddah - Riyadh,unsafe_distance,2026-08-21T09:29:02
TRP-122,Omar Nasser,Jeddah - Riyadh,phone_use,2026-08-21T10:01:36
TRP-122,Omar Nasser,Jeddah - Riyadh,phone_use,2026-08-21T11:23:35
TRP-122,Omar Nasser,Jeddah - Riyadh,drowsiness,2026-08-21T13:12:05
TRP-120,Ahmed Ali,Madinah - Tabuk,drowsiness,2026-08-22T01:04:04
TRP-121,Youssef Hassan,Jeddah - Riyadh,drowsiness,2026-08-22T02:21:35
TRP-121,Youssef Hassan,Jeddah - Riyadh,phone_use,2026-08-22T02:31:58
TRP-124,Faisal Al-Harbi,Madinah - Tabuk,yawning,2026-08-22T02:39:01
TRP-120,Ahmed Ali,Madinah - Tabuk,drowsiness,2026-08-22T03:16:02
TRP-120,Ahmed Ali,Madinah - Tabuk,phone_use,2026-08-22T04:03:02
TRP-120,Ahmed Ali,Madinah - Tabuk,yawning,2026-08-22T04:49:40
TRP-124,Faisal Al-Harbi,Madinah - Tabuk,unsafe_distance,2026-08-22T05:00:09
TRP-124,Faisal Al-Harbi,Madinah - Tabuk,no_seatbelt,2026-08-22T05:03:06
TRP-120,Ahmed Ali,Madinah - Tabuk,phone_use,2026-08-22T05:39:26
TRP-120,Ahmed Ali,Madinah - Tabuk,no_seatbelt,2026-08-22T05:48:19
TRP-120,Ahmed Ali,Madinah - Tabuk,phone_use,2026-08-22T06:46:29
TRP-121,Youssef Hassan,Jeddah - Riyadh,lane_departure,2026-08-22T06:47:48
TRP-125,Ahmed Ali,Riyadh - Dammam,phone_use,2026-08-22T22:24:42
TRP-125,Ahmed Ali,Riyadh - Dammam,yawning,2026-08-22T22:42:54
TRP-125,Ahmed Ali,Riyadh - Dammam,drowsiness,2026-08-22T23:16:43
TRP-125,Ahmed Ali,Riyadh - Dammam,lane_departure,2026-08-22T23:46:34
TRP-127,Youssef Hassan,Jeddah - Riyadh,yawning,2026-08-23T01:41:28
TRP-126,Tariq Mansour,Jeddah - NEOM,unsafe_distance,2026-08-23T02:39:25
TRP-127,Youssef Hassan,Jeddah - Riyadh,lane_departure,2026-08-23T03:49:59
TRP-127,Youssef Hassan,Jeddah - Riyadh,drowsiness,2026-08-23T05:37:51
TRP-126,Tariq Mansour,Jeddah - NEOM,phone_use,2026-08-23T05:56:20
TRP-126,Tariq Mansour,Jeddah - NEOM,drowsiness,2026-08-23T05:59:07
TRP-127,Youssef Hassan,Jeddah - Riyadh,no_seatbelt,2026-08-23T07:35:42
TRP-128,Ahmed Ali,Jeddah - NEOM,unsafe_distance,2026-08-23T08:44:09
TRP-128,Ahmed Ali,Jeddah - NEOM,yawning,2026-08-23T10:29:49
TRP-128,Ahmed Ali,Jeddah - NEOM,drowsiness,2026-08-23T11:44:23
TRP-132,Faisal Al-Harbi,Madinah - Tabuk,unsafe_distance,2026-08-23T11:52:21
TRP-128,Ahmed Ali,Jeddah - NEOM,phone_use,2026-08-23T13:28:39
TRP-128,Ahmed Ali,Jeddah - NEOM,lane_departure,2026-08-23T13:57:33
TRP-128,Ahmed Ali,Jeddah - NEOM,lane_departure,2026-08-23T14:05:12
TRP-128,Ahmed Ali,Jeddah - NEOM,no_seatbelt,2026-08-23T14:56:18
TRP-128,Ahmed Ali,Jeddah - NEOM,yawning,2026-08-23T15:39:35
TRP-128,Ahmed Ali,Jeddah - NEOM,phone_use,2026-08-23T16:48:48
TRP-128,Ahmed Ali,Jeddah - NEOM,drowsiness,2026-08-23T17:50:33
TRP-129,Youssef Hassan,Jeddah - Tabuk,no_seatbelt,2026-08-24T04:07:48
TRP-129,Youssef Hassan,Jeddah - Tabuk,unsafe_distance,2026-08-24T07:19:44
TRP-131,Khalid Saeed,Jeddah - NEOM,no_seatbelt,2026-08-24T07:36:19
